Goalie,Jersey,Team,GP,MIN,W,L,T,SO,GA,GAA,SV,SV%
George Szczublewski,0,Buffalo Goodfellas (NBHL BUF),1,30:00:00,1,0,0,1,0,0,5,1
Jason Rocha,1,Southcoast Scrappers (NBHL NE),1,30:00:00,0,1,0,0,3,6,44,0.936
John Etling,33,Mays Landing Mojo (NBHL NJ(2)),1,30:00:00,0,1,0,0,2,4,0,0
John Zurensky,30,North Hills Militia (NBHL PIT),2,60:00:00,0,2,0,0,10,10,48,0.828
Jordan Martiniak,1,Chicago Dolphins (NBHL CHI),2,60:00:00,0,2,0,0,8,8,0,0
Josh Harp,0,South Sound Sabercats (NBHL PNW),2,60:00:00,0,2,0,0,12,12,0,0
Kevin Newton,32,Providence Iron Stags (NBHL NE),1,30:00:00,1,0,0,0,1,2,6,0.857
Kevin Pacheco,0,Fall River Reapers (NBHL NE),1,30:00:00,0,1,0,0,6,12,32,0.842
Matt Reyes,1,Austin Arsenal (NBHL TX),2,60:00:00,0,2,0,0,9,9,48,0.842
Mike Miksitz,87,Pennsylvania Nights Watch (NBHL PHI),2,65:00:00,1,1,0,0,4,3.69,0,0
Nick McCleary,1,New Jersey Huskies (NBHL NJ),1,30:00:00,0,1,0,0,2,4,13,0.867
Nick Pereira,31,Las Vegas Shiners (NBHL Cal),1,30:00:00,0,1,0,0,5,10,0,0
Nikolas Tkacz,32,Delco Demons (NBHL PHI),1,30:19:00,1,0,0,0,3,5.94,0,0
Sorcher,0,Edison Electric (NBHL NJ(2)),2,60:00:00,0,2,0,0,14,14,0,0
Steve Leighton,1,Central Mass Sea Bass (NBHL MA),1,30:00:00,0,1,0,0,1,2,12,0.923
Steve Miller,30,Orange County Wolves (NBHL Cal),1,30:00:00,1,0,0,1,0,0,0,0
Stu Monteith,66,Queen City Quake (NBHL BUF),1,30:00:00,0,1,0,0,8,16,16,0.667
Tim Mattonen,1,Seattle Leafs (NBHL PNW),1,30:00:00,0,1,0,0,8,16,0,0
fill in goalie,99,New Jersey Dudes (NBHL NJ(2)),1,30:00:00,1,0,0,0,2,4,0,0
