Player,Jersey,Team,GP,G,A,PTS,PIM,PPG
Kevin Botelho,17,Southcoast Scrappers (NBHL NE),6,1,0,1,0,0
Kyle Brumfield,5,Maryland Sparks (NBHL D.C),5,0,1,1,4,0
Lucas Martins,66,Southcoast Scrappers (NBHL NE),6,0,1,1,2,0
Luke Villano,88,Marlton Dawgz (NBHL NJ),2,0,1,1,0,0
Macky Osherow,16,Evesham Tortugas (NBHL NJ),1,1,0,1,0,0
Marvin Pawlowski,25,Liverpool Hockey Club (NBHL BUF),2,1,0,1,0,0
Matt Candra,18,Chicago Dolphins (NBHL CHI),1,0,1,1,0,0
Matt Caron,97,Oak Ridge Owls (NBHL MA),2,0,1,1,6,0
Matt DeAngelis,41,Pennsylvania Nights Watch (NBHL PHI),2,0,1,1,2,0
Matt Deangelis,61,South Jersey Vikings (NBHL NJ(2)),2,0,1,1,0,0
Matt Hromalik,91,Portland Golden Eagles (NBHL PNW),2,1,0,1,0,0
Matt McCann,94,Bay Area Bashers (NBHL Cal),1,1,0,1,2,0
Matt Nicholson,66,Oak Ridge Owls (NBHL MA),2,0,1,1,0,0
Matt Paradise,44,Steel City Show Stoppers (NBHL PIT),2,0,1,1,0,0
Matt Satterly,27,Washington D.C Haze (NBHL D.C),3,0,1,1,4,0
Matt Tomasic,41,Penn Hills Battalion (NBHL PIT),6,0,1,1,0,0
Max Strang,29,Bay Area Bashers (NBHL Cal),1,0,1,1,0,0
Michael Kennedy,97,Camden County Cobras (NBHL NJ(2)),2,1,0,1,0,0
Michael Wright,25,Mid Jersey Mutants (NBHL NJ(2)),6,1,0,1,0,0
Mike Canazzi,19,Buffalo 716ers (NBHL BUF),4,0,1,1,0,0
Mike Colcord,14,Central Mass Sea Bass (NBHL MA),6,1,0,1,0,0
Mike DeFazio,9,Oak Ridge Owls (NBHL MA),2,1,0,1,0,0
Mike Huber,28,Maryland Sparks (NBHL D.C),4,0,1,1,0,0
Mike Packer,68,South Jersey Atlantis (NBHL NJ(2)),2,1,0,1,0,0
Mike Schiefer,32,Pitcairn Governors (NBHL PIT),5,0,1,1,0,0
Mike Tassos,4,Penn Hills Imperium (NBHL PIT),4,1,0,1,0,0
Mirko Zizka,44,Orange County Wolves (NBHL Cal),2,0,1,1,2,0
Mitch Cratty,6,Falls Church Phantoms (NBHL D.C),2,0,1,1,0,0
Morgan Forsythe,8,Dallas Fort Worth Marksmen (NBHL TX),4,1,0,1,0,0
Nate Belliveau,19,Mid Jersey Mutants (NBHL NJ(2)),6,0,1,1,0,0
Nate Glynn,16,Twin City Classics (NBHL MA),1,1,0,1,0,0
Nick Beard,99,Delco Demons (NBHL PHI),1,1,0,1,0,0
Nick Carter,12,Oak Ridge Owls (NBHL MA),2,1,0,1,0,0
Oliver Shepard,76,Orange County Wolves (NBHL Cal),2,1,0,1,0,0
Pat ODonnell Jr,20,Philadelphia Fear (NBHL PHI),2,1,0,1,2,0
Paul Budlong,25,Orange County Wolves (NBHL Cal),2,0,1,1,0,0
Paul Steinitz,12,Arlington Plague (NBHL D.C),5,1,0,1,2,0
Pete OKeefe,11,Washington D.C Haze (NBHL D.C),2,0,1,1,2,0
Philip Ranaudo,98,Philadelphia Fear (NBHL PHI),2,0,1,1,2,0
Ralph Antonucci,6,Philadelphia Fear (NBHL PHI),2,1,0,1,0,0
Rich Riedling,11,Dallas Fort Worth Marksmen (NBHL TX),4,1,0,1,4,0
Rob Church,6,Nickel City Smoke (NBHL BUF),2,0,1,1,0,0
Robert Lee,4,Nickel City Smoke (NBHL BUF),2,1,0,1,0,0
Roy Camara,4,Southcoast Scrappers (NBHL NE),6,0,1,1,6,0
Ryan Blaum,31,South Jersey Space Pirates (NBHL NJ(2)),5,1,0,1,0,0
Ryan Caster,34,Liverpool Hockey Club (NBHL BUF),2,0,1,1,0,0
Ryan Crossey,91,Penn Hills Battalion (NBHL PIT),4,1,0,1,0,0
Ryan Mains,6,Penn Hills Battalion (NBHL PIT),6,0,1,1,2,0
Ryan McDermott,19,Penn Hills Battalion (NBHL PIT),6,0,1,1,0,0
Ryan Phillips,52,New Jersey Dudes (NBHL NJ(2)),2,1,0,1,0,0
Ryan Rautanen,23,Pennsylvania Nights Watch (NBHL PHI),2,0,1,1,0,0
Ryan Shannon,55,Mon Valley Warbirds (NBHL PIT),3,0,1,1,0,0
Ryan Shaw,18,Mid Jersey Mutants (NBHL NJ(2)),6,0,1,1,0,0
Sam Ansari,88,Belmont Heights Kings (NBHL CHI),1,1,0,1,0,0
Scott Duggan,44,Boston Ball Hockey Team (NBHL MA),2,1,0,1,2,0
Scott LeClere,50,Belmont Heights Kings (NBHL CHI),1,0,1,1,0,0
Scott Powell,0,New Jersey Dudes (NBHL NJ(2)),2,1,0,1,2,0
Scott Shinn,7,Orange County Wolves (NBHL Cal),2,1,0,1,0,0
Sean ODonnel,12,Seattle Leafs (NBHL PNW),2,0,1,1,2,0
Shane Kelley,66,Marlton Dawgz (NBHL NJ),4,0,1,1,2,0
Shane ODonnell,8,Oak Ridge Owls (NBHL MA),2,1,0,1,2,0
Steve Bancroft,84,New Jersey Dudes (NBHL NJ(2)),2,0,1,1,0,0
Steve Bayona,14,Mid Jersey Mutants (NBHL NJ(2)),6,0,1,1,0,0
Steve Manoukian,8,Lowell Lizard Kings (NBHL MA),1,0,1,1,0,0
Steven Bruce,91,Philadelphia Powerhouse (NBHL PHI),1,1,0,1,0,0
TJ Janus,12,Marlton Dawgz (NBHL NJ),5,1,0,1,2,0
Thaddeus Swartzmeyer,26,Buffalo Goodfellas (NBHL BUF),4,1,0,1,2,0
Tom Lepage,7,Southcoast Scrappers (NBHL NE),6,1,0,1,0,0
Tyler Hill,19,Orange County Wolves (NBHL Cal),2,0,1,1,2,0
Tyler Loiselle,11,Lowell Lizard Kings (NBHL MA),1,1,0,1,0,0
Tyler Witiak,33,Harrisburg Hustle (NBHL PHI),2,0,1,1,2,0
Tyler Young,92,New Jersey Dudes (NBHL NJ(2)),2,1,0,1,2,0
Walt Wyrsta,51,Pennsylvania Nights Watch (NBHL PHI),2,1,0,1,0,0
Zac Carlisle,32,Buffalo Goodfellas (NBHL BUF),4,0,1,1,2,0
Zach Andes,0,Marlton Dawgz (NBHL NJ),5,1,0,1,6,0
Zach Pereira,7,South Shore Shamrocks (NBHL NE),3,1,0,1,0,0
Zachary Beswick,11,South Jersey Atlantis (NBHL NJ(2)),2,0,1,1,4,0
Zack Lesher,69,Harrisburg Hustle (NBHL PHI),2,1,0,1,7,0
Aadesh Patel,96,Chicago Southsiders (NBHL CHI),2,0,0,0,0,0
Aaron Belonga,22,Portland Golden Eagles (NBHL PNW),2,0,0,0,0,0
Aaron Biederman,10,California Wildfires (NBHL Cal),1,0,0,0,0,0
Aaron Huffnagle,81,Marlton Dawgz (NBHL NJ),2,0,0,0,0,0
Adam Ghering,81,Falls Church Phantoms (NBHL D.C),2,0,0,0,2,0
Adam McFetridge,16,Mon Valley Warbirds (NBHL PIT),3,0,0,0,0,0
Adam Nero,28,Mon Valley Warbirds (NBHL PIT),3,0,0,0,2,0
Adam Shiring,56,Arlington Plague (NBHL D.C),5,0,0,0,4,0
Aiden Jones,2,Marlton Dawgz (NBHL NJ),5,0,0,0,2,0
Al Schanck,80,Mid Jersey Mutants (NBHL NJ(2)),6,0,0,0,0,0
Alain Savage,41,Red River Hot Sauce (NBHL TX),2,0,0,0,0,0
Alan Klemanchuck,99,Rhode Island Angry Goats (NBHL NE),2,0,0,0,0,0
Alan Luiz,68,Southcoast Scrappers (NBHL NE),6,0,0,0,0,0
Alan Razoky,7,SoCal Royalty (NBHL Cal),2,0,0,0,0,0
